AMD A4 7300 (리치랜드),AMD,소켓FM2,32,듀얼,2,3.8,NA,1,NA,65,AMD HD 8470D,800,NA,NA
AMD FX 8300 (비쉐라),AMD,소켓AM3+,32,옥타,8,3.3,NA,8,NA,95,NA,NA,NA,NA
인텔 코어X-시리즈 i7-6950X (브로드웰-E),인텔,소켓2011-V3,14,10,20,3.0,NA,25,NA,140,NA,NA,NA,NA
인텔 코어X-시리즈 i7-6900K (브로드웰-E),인텔,소켓2011-V3,14,옥타,16,3.2,NA,20,NA,140,NA,NA,NA,NA
인텔 펜티엄 G4520 (스카이레이크),인텔,소켓1151,14,듀얼,2,3.6,512,3,NA,51,인텔 HD 530,NA,NA,NA
인텔 제온 E5-2603V3 (하스웰-EP),인텔,소켓2011-V3,22,헥사,6,1.6,NA,15,NA,85,NA,NA,NA,NA
인텔 제온 E5-2643V2 (아이비브릿지-EP),인텔,소켓2011,22,헥사,12,3.5,NA,25,NA,130,NA,NA,NA,NA
인텔 제온 E5-2620V3 (하스웰-EP),인텔,소켓2011-V3,22,헥사,12,2.4,NA,15,NA,85,NA,NA,NA,NA
인텔 셀러론 G3920 (스카이레이크),인텔,소켓1151,14,듀얼,2,2.9,512,2,NA,51,인텔 HD 510,350,NA,NA
AMD A10 7860K (고다바리),AMD,소켓FM2+,28,쿼드,4,3.6,NA,4,NA,65,AMD R7 시리즈,757,NA,NA
AMD 애슬론-X4 870K (고다바리),AMD,소켓FM2+,28,쿼드,4,3.9,NA,4,NA,95,NA,NA,NA,NA
AMD 애슬론 5370 (카비니),AMD,소켓AM1,28,쿼드,4,2.2,NA,2,NA,25,AMD R3 시리즈,600,NA,NA
AMD A10 7890K (고다바리),AMD,소켓FM2+,28,쿼드,4,4.1,NA,4,NA,95,AMD R7 시리즈,866,NA,NA
AMD 애슬론-X4 880K (고다바리),AMD,소켓FM2+,28,쿼드,4,4.0,NA,4,NA,95,NA,NA,NA,NA
인텔 제온 E3-1280V5 (스카이레이크),인텔,소켓1151,14,쿼드,8,3.7,1,8,NA,80,NA,NA,전용 칩셋인 C232 / C236 메인보드만 호환 가능합니다.,NA
인텔 코어i5-2세대 2550K (샌디브릿지),인텔,소켓1155,32,쿼드,4,3.4,NA,6,NA,95,NA,NA,NA,NA
인텔 코어i3-6세대 6320 (스카이레이크),인텔,소켓1151,14,듀얼,4,3.9,512,4,NA,51,인텔 HD 530,NA,NA,NA
인텔 펜티엄 G4500 (스카이레이크),인텔,소켓1151,14,듀얼,2,3.5,512,3,NA,51,인텔 HD 530,NA,NA,NA
인텔 코어i7-5세대 5775C (브로드웰),인텔,소켓1150,14,쿼드,8,3.3,1,6,NA,65,인텔 Iris Pro 6200,1,NA,NA
인텔 제온 E3-1220V2 (아이비브릿지),인텔,소켓1155,22,쿼드,4,3.1,NA,8,NA,69,NA,NA,NA,NA
