name,manufacturer,type,prod_name,nm,clock,b_clock,sp,PCIe,gddr,memory_c,memory_v,memory_b,etc,price
HIS 라데온 RX 570 IceQ X2 Turbo D5 4GB (벌크),HIS,vga,RX570,14,NA,1264,2048,3.0x16,5,7000,4,256,DVI / HDMI / DP / 최대 모니터 5개 / 정격파워 500W 이상 / 전원부: 4+1페이즈 / 2개 팬 / 230mm,142900
GAINWARD 지포스 GTX1050 게이머 스피릿 D5 2GB 디앤디컴,GAINWARD,vga,GTX1050,14,1354,1455,640,3.0x16,5,7000,2,128,DVI / HDMI / DP / 최대 모니터 3개 / 최대 75W / 정격파워 300W 이상 / 전원부: 3페이즈 / 1개 팬,129200
갤럭시 GALAX 지포스 GTX1060 EXOC D5 3GB G天命,갤럭시,vga,GTX1060,16,1544,1759,1152,3.0x16,5,8008,3,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 5페이즈 / 2개 팬 / 268mm,239900
PowerColor 라데온 RX 580 D5 8GB 레드드래곤 디앤디컴 (벌크),PowerColor,vga,RX580,14,NA,1215,2304,3.0x16,5,8000,8,256,DVI / 최대 모니터 1개 / 정격파워 500W 이상 / 2개 팬,171300
GIGABYTE 지포스 RTX 2080 UDV WF3 D6 8GB,GIGABYTE,vga,RTX2080,12,NA,1710,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 정격파워 650W 이상 / 전원부: 8+2페이즈 / 3개 팬 / 281mm / 백플레이트 / LED 라이트 / RGB FUSION,943600
PowerColor 라데온 RX 580 D5 8GB 붉은악마 디앤디컴,PowerColor,vga,RX580,14,NA,1380,2304,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 정격파워 550W 이상 / 전원부: 6페이즈 / 2개 팬 / 255mm,282220
GIGABYTE 지포스 RTX 2080 UDV D6 8GB 윈드포스,GIGABYTE,vga,RTX2080,12,1785,1800,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 정격파워 650W / 전원부: 8+2페이즈 / 3개 팬 / 281mm / 백플레이트 / LED 라이트 / RGB FUSION,1035300
이엠텍 HV 지포스 GTX1060 BLACK MONSTER OC D5X 6GB,이엠텍,vga,GTX1060,16,1531,1747,1280,3.0x16,5,NA,6,192,HDMI / DP / 최대 120W / 210mm,288900
갤럭시 GALAX 지포스 GTX1050 EXOC D5 2GB G天命,갤럭시,vga,GTX1050,14,1417,1531,640,3.0x16,5,7008,2,128,DVI / HDMI / DP / 최대 모니터 4개 / 최대 75W / 정격파워 300W 이상 / 전원부: 4페이즈 / 2개 팬 / 245mm,145000
PowerColor 라데온 RX Vega 56 HBM2 8GB 붉은악마 디앤디컴,PowerColor,vga,RXVega56,14,1308,1526,3584,NA,NA,NA,8,2048,HDMI / DP / 최대 모니터 4개 / 정격파워 750W 이상 / 전원부: 12페이즈 / 3개 팬 / 316mm / 백플레이트,546000
PALIT 지포스 RTX 2070 Super JETSTREAM D6 8GB,PALIT,vga,RTX2070,12,1410,1740,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 220W / 정격파워 550W 이상 / 2개 팬 / 292mm / 백플레이트 / LED 라이트 / RGB LIGHTING,694000
갤럭시 GALAX 지포스 RTX 2080 Ti 개간지 OC D6 11GB BLACK Edition,갤럭시,vga,RTX2080Ti,12,NA,1635,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 260W / 정격파워 650W 이상 / 전원부: 13+3페이즈 / 3개 팬 / 308mm / 백플레이트 / LED 라이트,1835530
PALIT 지포스 GTX1060 DUAL D5 6GB,PALIT,vga,GTX1060,16,1506,1708,1280,3.0x16,5,8000,6,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 4페이즈 / 2개 팬 / 252mm,284900
GAINWARD 지포스 RTX 2080 Phantom GLH D6 8GB,GAINWARD,vga,RTX2080,12,1515,1875,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 245W / 정격파워 650W 이상 / 전원부: 12페이즈 / 3개 팬 / 292mm / 백플레이트 / LED 라이트,979000
GIGABYTE 지포스 GTX1050 UD2 D5 2GB Nano LP,GIGABYTE,vga,GTX1050,14,1366,1468,640,3.0x16,5,7008,2,128,DVI / HDMI / DP / 최대 모니터 4개 / 정격파워 300W 이상 / 전원부: 4페이즈 / 1개 팬 / 167mm,151300
리드텍 쿼드로 P4000 D5 8GB ABKO,리드텍,vga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1792개 / PCIe3.0x16 / GDDR5(DDR5) / 8GB / 256-bit / DP / 최대 105W / 1개 팬 / 241mm,1150000
ASRock Phantom Gaming X 라데온 RX 590 OC D5 8GB 디앤디컴,ASRock,vga,RX590,12,1560,1591,2304,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 전원부: 6페이즈 / 2개 팬 / 278.8mm / 백플레이트,334500
갤럭시 GALAX 지포스 RTX 2080 BLACK LABEL EXOC D6 8GB,갤럭시,vga,RTX2080,12,1515,1845,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 245W / 정격파워 650W 이상 / 전원부: 10페이즈 / 2개 팬 / 285mm / 백플레이트 / LED 라이트,968900
