TeamGroup DDR4 8G PC4-21300 New Elite Plus Black Gold,TeamGroup,4,PC용,1,포함,Dimm,8,2666,1.20V / 메모리 타이밍 : 19-19-19-43,53000
TeamGroup T-Force DDR4 32G PC4-21300 CL15 Delta RGB 화이트 (16Gx2),TeamGroup,4,PC용,2,포함,Dimm,32,2666,1.20V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / 메모리 타이밍 : 15-17-17-35,342900
CORSAIR DDR4 16GB PC4-28800 CL18 VENGEANCE PRO RGB WHITE (8Gx2),CORSAIR,4,PC용,2,포함,Dimm,16,3600,1.35V / LED 색상: RGB / XMP / LED 라이트 / MYSTIC LIGHT / RGB FUSION / 제조사 소프트웨어 / 메모리 타이밍 : 18-19-19-39,320500
타무즈 DDR3 4G PC3-12800 CL11,타무즈,3,PC용,1,미포함,Dimm,4,1600,1.50V / 메모리 타이밍 : CL11 / 동작전압 1.5V,23500
갤럭시 GALAX DDR4 4G PC4-17000,갤럭시,4,PC용,1,미포함,Dimm,4,2133,1.20V / 메모리 타이밍 : 15-15-15-35,35500
ESSENCORE KLEVV DDR4 16G PC4-21300 CL16,ESSENCORE,4,PC용,1,미포함,Dimm,16,2666,메모리 타이밍 : 16-18-18-36,107500
마이크론 Ballistix DDR4 16G PC4-24000 CL16 텍티컬 트레이서 RGB 대원CTS,마이크론,4,PC용,1,포함,Dimm,16,3000,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / RGB LED / 제조사 소프트웨어 / 메모리 타이밍 : 16-18-18,262920
GeIL DDR4 16G PC4-19200 CL17 PRISTINE,GeIL,4,PC용,1,미포함,Dimm,16,2400,1.20V / 메모리 타이밍 : 17-17-17-39,104100
GeIL DDR4 16G PC4-21300 CL19 SUPER LUCE RGB Sync 화이트 AMD Edition (8Gx2),GeIL,4,PC용,2,포함,Dimm,16,2666,1.20V / LED 색상: RGB / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 19-19-19-43,168200
G.SKILL DDR4 32G PC4-24000 CL16 TRIDENT Z ROYAL 실버 (16Gx2),G.SKILL,4,PC용,2,포함,Dimm,32,3000,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 16-18-18-38,367000
G.SKILL DDR4 16G PC4-34100 CL19 TRIDENT Z ROYAL 실버 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,4266,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 19-19-19-39,490000
G.SKILL DDR4 16G PC4-25600 CL14 TRIDENT Z ROYAL 골드 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 14-14-14-34,NA
삼성전자 DDR3 2G PC3-10600,삼성전자,3,PC용,1,NA,Dimm,2,1333,NA,NA
G.SKILL DDR4 16G PC4-28800 CL18 TRIDENT Z ROYAL 실버 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,3600,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 18-22-22-42,318500
G.SKILL DDR4 16G PC4-36800 CL18 TRIDENT Z ROYAL 실버 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,4600,1.45V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 18-22-22-42,NA
G.SKILL DDR4 16G PC4-36800 CL18 TRIDENT Z ROYAL 골드 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,4600,1.45V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 18-22-22-42,NA
Apacer DDR4 16G PC4-25600 CL16 PANTHER RAGE RGB 블랙 (8Gx2),Apacer,4,PC용,2,포함,Dimm,16,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / 메모리 타이밍: 16-18-18-38,187000
G.SKILL DDR4 16G PC4-35200 CL18 TRIDENT Z ROYAL 실버 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,4400,1.40V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 18-19-19-39,NA
